,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
17,2019-05-21,16.622697863202674,-50.997313207546256,25.159616673111177,16.622697863202674,16.622697863202674,-29.071252314012458,-29.071252314012458,-29.071252314012458,0.24732477213763204,0.24732477213763204,0.24732477213763204,-29.318577086150086,-29.318577086150086,-29.318577086150086,0.0,0.0,0.0,-12.448554450809784
18,2019-05-22,16.623726596191446,-53.663467481901,28.158997640204305,16.623726596191446,16.623726596191446,-28.73112243399152,-28.73112243399152,-28.73112243399152,0.608132553625827,0.608132553625827,0.608132553625827,-29.33925498761735,-29.33925498761735,-29.33925498761735,0.0,0.0,0.0,-12.107395837800073
19,2019-05-23,16.624755329180218,-52.459917951192914,28.208300682323205,16.624755329180218,16.624755329180218,-29.455338336570858,-29.455338336570858,-29.455338336570858,-0.22541790534754752,-0.22541790534754752,-0.22541790534754752,-29.229920431223313,-29.229920431223313,-29.229920431223313,0.0,0.0,0.0,-12.83058300739064
20,2019-05-24,16.62578406216899,-54.188801609576785,23.979772732421615,16.62578406216899,16.62578406216899,-29.732254409631448,-29.732254409631448,-29.732254409631448,-0.7396400812823709,-0.7396400812823709,-0.7396400812823709,-28.99261432834908,-28.99261432834908,-28.99261432834908,0.0,0.0,0.0,-13.106470347462459
21,2019-05-28,16.629898994124073,-48.91143523137624,29.872479922992813,16.629898994124073,16.629898994124073,-26.64244584000378,-26.64244584000378,-26.64244584000378,0.24732477213629758,0.24732477213629758,0.24732477213629758,-26.88977061214008,-26.88977061214008,-26.88977061214008,0.0,0.0,0.0,-10.012546845879708
22,2019-05-29,16.63092772711284,-49.32713221784628,30.496466242259135,16.63092772711284,16.63092772711284,-25.517632008518092,-25.517632008518092,-25.517632008518092,0.6081325536276058,0.6081325536276058,0.6081325536276058,-26.125764562145697,-26.125764562145697,-26.125764562145697,0.0,0.0,0.0,-8.886704281405251
23,2019-05-30,16.631956460101616,-49.87697702974085,28.66073478299254,16.631956460101616,16.631956460101616,-25.517783127393976,-25.517783127393976,-25.517783127393976,-0.22541790534616346,-0.22541790534616346,-0.22541790534616346,-25.292365222047813,-25.292365222047813,-25.292365222047813,0.0,0.0,0.0,-8.88582666729236
24,2019-05-31,16.632985193090384,-48.798077420287896,31.79071526568103,16.632985193090384,16.632985193090384,-25.14415922779343,-25.14415922779343,-25.14415922779343,-0.7396400812790636,-0.7396400812790636,-0.7396400812790636,-24.404519146514367,-24.404519146514367,-24.404519146514367,0.0,0.0,0.0,-8.511174034703046
25,2019-06-03,16.6360713920567,-45.608697877506145,37.403995415248886,16.6360713920567,16.6360713920567,-20.404554891816108,-20.404554891816108,-20.404554891816108,1.1645793334510626,1.1645793334510626,1.1645793334510626,-21.56913422526717,-21.56913422526717,-21.56913422526717,0.0,0.0,0.0,-3.7684834997594088
26,2019-06-04,16.637100125045468,-47.02820237296362,35.80873615984496,16.637100125045468,16.637100125045468,-20.370003868921817,-20.370003868921817,-20.370003868921817,0.24732477213780876,0.24732477213780876,0.24732477213780876,-20.617328641059625,-20.617328641059625,-20.617328641059625,0.0,0.0,0.0,-3.7329037438763493
27,2019-06-05,16.63812885803424,-44.67664859257788,36.41366914739546,16.63812885803424,16.63812885803424,-19.077514661877842,-19.077514661877842,-19.077514661877842,0.6081325536248248,0.6081325536248248,0.6081325536248248,-19.685647215502666,-19.685647215502666,-19.685647215502666,0.0,0.0,0.0,-2.439385803843603
28,2019-06-06,16.639157591023007,-41.32130109961768,36.54455745017905,16.639157591023007,16.639157591023007,-19.01175476080829,-19.01175476080829,-19.01175476080829,-0.22541790534912817,-0.22541790534912817,-0.22541790534912817,-18.786336855459165,-18.786336855459165,-18.786336855459165,0.0,0.0,0.0,-2.3725971697852835
29,2019-06-07,16.640186324011783,-41.53936873816514,38.81423598554177,16.640186324011783,16.640186324011783,-18.66965210222014,-18.66965210222014,-18.66965210222014,-0.7396400812802194,-0.7396400812802194,-0.7396400812802194,-17.930012020939923,-17.930012020939923,-17.930012020939923,0.0,0.0,0.0,-2.0294657782083583
